[LOGS]
[2024-01-24 16:52:50,314] [MainProcess/MainThread/INFO] (shell_startup.py/LoggingGUI) loading MAIN gui...
[2024-01-24 16:52:50,314] [MainProcess/MainThread/INFO] (shell_startup.py/LoggingGUI) loading MAIN gui...
[2024-01-24 16:52:50,314] [MainProcess/MainThread/INFO] (shell_startup.py/LoggingGUI) loading MAIN gui...
[2024-01-24 16:52:50,314] [MainProcess/MainThread/INFO] (shell_startup.py/LoggingGUI) loading MAIN gui...
[2024-01-24 16:52:50,314] [MainProcess/MainThread/INFO] (shell_startup.py/LoggingGUI) loading MAIN gui...
[2024-01-24 16:52:50,314] [MainProcess/MainThread/INFO] (shell_startup.py/LoggingGUI) loading MAIN gui...
[2024-01-24 16:52:50,332] [MainProcess/MainThread/INFO] (shell_startup.py/LoggingGUI) loading MAIN gui...
[2024-01-24 16:52:50,332] [MainProcess/MainThread/INFO] (shell_startup.py/LoggingGUI) loading MAIN gui...
[2024-01-24 16:52:50,332] [MainProcess/MainThread/INFO] (shell_startup.py/LoggingGUI) loading MAIN gui...
[2024-01-24 16:52:50,332] [MainProcess/MainThread/INFO] (shell_startup.py/LoggingGUI) loading MAIN gui...
[2024-01-24 16:52:50,332] [MainProcess/MainThread/INFO] (shell_startup.py/LoggingGUI) loading MAIN gui...
[2024-01-24 16:52:50,332] [MainProcess/MainThread/INFO] (shell_startup.py/LoggingGUI) loading MAIN gui...
[2024-01-24 16:52:50,332] [MainProcess/MainThread/INFO] (shell_startup.py/LoggingGUI) loading MAIN gui...
[2024-01-24 16:52:50,332] [MainProcess/MainThread/INFO] (shell_startup.py/LoggingGUI) loading MAIN gui...
[2024-01-24 16:52:50,332] [MainProcess/MainThread/INFO] (shell_startup.py/update) Clearing background
[2024-01-24 16:52:50,332] [MainProcess/MainThread/INFO] (shell_startup.py/update) Creating Sprites...Drawing Background Sprites
[2024-01-24 16:52:50,332] [MainProcess/MainThread/INFO] (shell_startup.py/update) Creating Windows Spites...Drawing Window Sprites
[2024-01-24 16:52:50,332] [MainProcess/MainThread/INFO] (shell_startup.py/update) startup completed
[2024-01-24 16:52:50,332] [MainProcess/MainThread/INFO] (shell_startup.py/LoggingGUI) loading MAIN gui...
[2024-01-24 16:52:50,332] [MainProcess/MainThread/INFO] (shell_startup.py/LoggingGUI) loading MAIN gui...
[2024-01-24 16:52:50,332] [MainProcess/MainThread/INFO] (shell_startup.py/LoggingGUI) loading MAIN gui...
